
# Surface 0 of 1 surfaces

# Curve title: "r*cos(v)*cos(u),r*cos(v)*sin(u),r*sin(v)"

# IsoCurve 0, 25 points
# x y z type
 0.377193 0.1  0.910454 i
 0.339787 0.2  0.910454 i
 0.279097 0.3  0.910454 i
 0.199282 0.3  0.910454 i
 0.105811 0.4  0.910454 i
 0.00508938 0.4  0.910454 i
-0.0959811 0.4  0.910454 i
-0.190475 0.3  0.910454 i
-0.271916 0.3  0.910454 i
-0.334724 0.2  0.910454 i
-0.374595 0.1  0.910454 i
-0.388796 0.0  0.910454 i
-0.376356 -0.1  0.910454 i
-0.338125 -0.2  0.910454 i
-0.276724 -0.3  0.910454 i
-0.196361 -0.3  0.910454 i
-0.102542 -0.4  0.910454 i
-0.0016965 -0.4  0.910454 i
 0.0992655 -0.4  0.910454 i
 0.193425 -0.3  0.910454 i
 0.27433 -0.3  0.910454 i
 0.336437 -0.2  0.910454 i
 0.375489 -0.1  0.910454 i
 0.388811 -0.0  0.910454 i

# IsoCurve 22, 25 points
# x y z type
 0.263138 -0.0  0.954378 i
 0.255314 0.1  0.954378 i
 0.229995 0.1  0.954378 i
 0.188915 0.2  0.954378 i
 0.13489 0.2  0.954378 i
 0.0716214 0.3  0.954378 i
 0.0034449 0.3  0.954378 i
-0.0649677 0.3  0.954378 i
-0.128928 0.2  0.954378 i
-0.184054 0.2  0.954378 i
-0.226567 0.1  0.954378 i
-0.253555 0.1  0.954378 i
-0.263168 0.0  0.954378 i
-0.254747 -0.1  0.954378 i
-0.22887 -0.1  0.954378 i
-0.187309 -0.2  0.954378 i
-0.132913 -0.2  0.954378 i
-0.0694087 -0.3  0.954378 i
-0.00114833 -0.3  0.954378 i
 0.0671907 -0.3  0.954378 i
 0.130926 -0.2  0.954378 i
 0.185689 -0.2  0.954378 i
 0.227727 -0.1  0.954378 i
 0.254161 -0.1  0.954378 i
 0.263178 -0.0  0.954378 i

# IsoCurve 23, 25 points
# x y z type
 0.132769 -0.0  0.981054 i
 0.128821 0.0  0.981054 i
 0.116046 0.1  0.981054 i
 0.095319 0.1  0.981054 i
 0.06806 0.1  0.981054 i
 0.0361372 0.1  0.981054 i
 0.00173815 0.1  0.981054 i
-0.03278 0.1  0.981054 i
-0.065052 0.1  0.981054 i
-0.0928662 0.1  0.981054 i
-0.114317 0.1  0.981054 i
-0.127934 0.0  0.981054 i
-0.132784 0.0  0.981054 i
-0.128535 -0.0  0.981054 i
-0.115478 -0.1  0.981054 i
-0.0945085 -0.1  0.981054 i
-0.0670624 -0.1  0.981054 i
-0.0350208 -0.1  0.981054 i
-0.0005794 -0.1  0.981054 i
 0.0339017 -0.1  0.981054 i
 0.0660597 -0.1  0.981054 i
 0.0936909 -0.1  0.981054 i
 0.114902 -0.1  0.981054 i
 0.128239 -0.0  0.981054 i
 0.132789 -0.0  0.981054 i

# IsoCurve 24, 25 points
# x y z type
 6.06108e-17 -0.0  0.99 i
 5.88087e-17 0.0  0.99 i
 5.29767e-17 0.0  0.99 i
 4.35144e-17 0.0  0.99 i
 3.10703e-17 0.0  0.99 i
 1.64971e-17 0.0  0.99 i
 7.93492e-19 0.0  0.99 i
-1.49645e-17 0.0  0.99 i
-2.96971e-17 0.0  0.99 i
-4.23947e-17 0.0  0.99 i
-5.21872e-17 0.0  0.99 i
-5.84035e-17 0.0  0.99 i
-6.06177e-17 0.0  0.99 i
-5.86781e-17 -0.0  0.99 i
-5.27175e-17 -0.0  0.99 i
-4.31445e-17 -0.0  0.99 i
-3.06149e-17 -0.0  0.99 i
-1.59875e-17 -0.0  0.99 i
-2.64504e-19 -0.0  0.99 i
 1.54766e-17 -0.0  0.99 i
 3.01572e-17 -0.0  0.99 i
 4.27712e-17 -0.0  0.99 i
 5.24543e-17 -0.0  0.99 i
 5.8543e-17 -0.0  0.99 i
 6.062e-17 -0.0  0.99 i


# Surface 0 of 1 surfaces

# Curve title: "'/home/denis/Workspace/gnupl-go/gnu/matrix/bin/data/openport.txt'"

# IsoCurve 0, 25 points
# x y z type
 0.99 0.0 -0 i
 0.99 0.0  0 i
 0.99 0.0  0 i
 0.99 0.0  0 i
 0.99 0.0  0 i
 0.99 0.0  0 i
 0.99 0.0  0 i
 0.99 -0.0  0 i
 0.99 -0.0  0 i
 0.99 -0.0  0 i
 0.99 -0.0  0 i
 0.99 -0.0  0 i
 0.99 -0.0  0 i
 0.99 -0.0 -0 i
 0.99 -0.0 -0 i
 0.99 -0.0 -0 i
 0.99 -0.0 -0 i
 0.99 -0.0 -0 i
 0.99 -0.0 -0 i
 0.99 0.0 -0 i
 0.99 0.0 -0 i
 0.99 0.0 -0 i
 0.99 0.0 -0 i
 0.99 0.0 -0 i
 0.99 0.0 -0 i

# IsoCurve 1, 25 points
# x y z type
 0.981051 0.0 -0 i
 0.981052 0.0  0 i
 0.98105 0.0  0.00171226 i
 0.981051 0.0  0.00171226 i
 0.981052 0.0  0.00171226 i
 0.981052 0.0  0.00171226 i
 0.981053 0.0  0.00171226 i
 0.981052 -0.0  0.00171226 i
 0.981052 -0.0  0.00171226 i
 0.981051 -0.0  0.00171226 i
 0.981051 -0.0  0.00171226 i
 0.981052 -0.0  0 i
 0.981051 -0.0  0 i
 0.981052 -0.0 -0 i
 0.981051 -0.0 -0.00171226 i
 0.981051 -0.0 -0.00171226 i
 0.981052 -0.0 -0.00171226 i
 0.981052 -0.0 -0.00171226 i
 0.981053 -0.0 -0.00171226 i
 0.981052 0.0 -0.00171226 i
 0.981052 0.0 -0.00171226 i
 0.981051 0.0 -0.00171226 i
 0.981051 0.0 -0.00171226 i
 0.981052 0.0 -0 i
 0.981051 0.0 -0 i

# IsoCurve 2, 25 points
# x y z type
 0.954368 0.0 -0 i
 0.954367 0.0  0.0016657 i
