
# Surface 0 of 1 surfaces

# Curve title: "v(x,y)"

# Contour 0, label:    -0.36
 1.68285  1.45 -0.63 
 1.6948  1.5 -0.63 
 1.70642  1.55 -0.63 
 1.70707  1.5534 -0.63 
 1.71787  1.6 -0.63 
 1.72829  1.65 -0.63 
 1.73736  1.7 -0.63 
 1.74481  1.75 -0.63 
 1.74747  1.77537 -0.63 
 1.75055  1.8 -0.63 
 1.75421  1.85 -0.63 
 1.75546  1.9 -0.63 
 1.75409  1.95 -0.63 
 1.7499  2 -0.63 
 1.74747  2.01794 -0.63 
 1.74282  2.05 -0.63 
 1.73262  2.1 -0.63 
 1.71898  2.15 -0.63 
 1.70707  2.18546 -0.63 
 1.70177  2.2 -0.63 
 1.68083  2.25 -0.63 
 1.66667  2.27935 -0.63 
 1.65577  2.3 -0.63 
 1.62631  2.35 -0.63 
 1.62626  2.35008 -0.63 
 1.59202  2.4 -0.63 
 1.58586  2.40842 -0.63 
 1.5523  2.45 -0.63 
 1.54545  2.45814 -0.63 
 1.50645  2.5 -0.63 

-0.36079 -0.5 -0.63 
-0.393939 -0.474636 -0.63 
-0.424333 -0.45 -0.63 
-0.434343 -0.441734 -0.63 
-0.474747 -0.406875 -0.63 
-0.482415 -0.4 -0.63 
-0.515152 -0.369908 -0.63 
-0.535874 -0.35 -0.63 
-0.555556 -0.330526 -0.63 
-0.585219 -0.3 -0.63 
-0.59596 -0.288562 -0.63 
-0.630943 -0.25 -0.63 
-0.636364 -0.243787 -0.63 
-0.673442 -0.2 -0.63 
-0.676768 -0.195895 -0.63 
-0.713025 -0.15 -0.63 
-0.717172 -0.144486 -0.63 
-0.749937 -0.1 -0.63 
-0.757576 -0.089048 -0.63 
-0.784363 -0.05 -0.63 
-0.79798 -0.028926 -0.63 
-0.816439  0 -0.63 
-0.838384  0.0367084 -0.63 
-0.846263  0.05 -0.63 
-0.874053  0.1 -0.63 
-0.878788  0.109097 -0.63 
-0.900031  0.15 -0.63 
-0.919192  0.190064 -0.63 
-0.923951  0.2 -0.63 
-0.946287  0.25 -0.63 
-0.959596  0.282561 -0.63 
-0.966777  0.3 -0.63 
-0.985748  0.35 -0.63 
-1  0.391535 -0.63 


# Contour 7, label:    -0.71
 1.27872 -0.5 -0.71 
 1.30303 -0.485397 -0.71 
 1.34343 -0.457869 -0.71 
 1.35382 -0.45 -0.71 
 1.38384 -0.427587 -0.71 
 1.41628 -0.4 -0.71 
 1.42424 -0.393258 -0.71 
 1.46465 -0.354784 -0.71 
 1.46917 -0.35 -0.71 
 1.50505 -0.311168 -0.71 
 1.51425 -0.3 -0.71 
 1.54545 -0.260468 -0.71 
 1.55286 -0.25 -0.71 
 1.58581 -0.2 -0.71 
 1.58586 -0.199918 -0.71 
 1.61374 -0.15 -0.71 
 1.62626 -0.124518 -0.71 
 1.63717 -0.1 -0.71 
 1.65644 -0.05 -0.71 
 1.66667 -0.0179022 -0.71 
 1.67187  0 -0.71 
 1.68384  0.05 -0.71 
 1.69246  0.1 -0.71 
 1.69799  0.15 -0.71 
 1.70072  0.2 -0.71 
 1.70091  0.25 -0.71 
 1.69883  0.3 -0.71 
 1.69477  0.35 -0.71 
 1.68899  0.4 -0.71 
 1.68181  0.45 -0.71 
 1.67355  0.5 -0.71 
 1.66667  0.536961 -0.71 
 1.66465  0.55 -0.71 
 1.65564  0.6 -0.71 
 1.64663  0.65 -0.71 
 1.638  0.7 -0.71 
 1.63014  0.75 -0.71 
 1.62626  0.777137 -0.71 
 1.62335  0.8 -0.71 
 1.61773  0.85 -0.71 
 1.61356  0.9 -0.71 
 1.611  0.95 -0.71 
 1.61013  1 -0.71 
 1.611  1.05 -0.71 
 1.61356  1.1 -0.71 
 1.61773  1.15 -0.71 
 1.62335  1.2 -0.71 
 1.62626  1.22286 -0.71 
 1.63014  1.25 -0.71 
 1.638  1.3 -0.71 
 1.64663  1.35 -0.71 
 1.65564  1.4 -0.71 
 1.66465  1.45 -0.71 
 1.66667  1.46304 -0.71 
 1.67355  1.5 -0.71 
 1.68181  1.55 -0.71 
 1.68899  1.6 -0.71 
 1.69477  1.65 -0.71 
 1.69883  1.7 -0.71 
 1.70091  1.75 -0.71 
 1.70072  1.8 -0.71 
 1.69799  1.85 -0.71 
 1.69246  1.9 -0.71 
 1.68384  1.95 -0.71 
 1.67187  2 -0.71 
 1.66667  2.0179 -0.71 
 1.65644  2.05 -0.71 
 1.63717  2.1 -0.71 
 1.62626  2.12452 -0.71 
 1.61374  2.15 -0.71 
 1.58586  2.19992 -0.71 
 1.58581  2.2 -0.71 
 1.55286  2.25 -0.71 
 1.54545  2.26047 -0.71 
 1.51425  2.3 -0.71 
 1.50505  2.31117 -0.71 
 1.46917  2.35 -0.71 
 1.46465  2.35478 -0.71 
 1.42424  2.39326 -0.71 
 1.41628  2.4 -0.71 
 1.38384  2.42759 -0.71 
 1.35382  2.45 -0.71 
 1.34343  2.45787 -0.71 
 1.30303  2.4854 -0.71 
 1.27872  2.5 -0.71 

-0.165924  2.4 -0.71 
-0.151515  2.40982 -0.71 
-0.111111  2.43583 -0.71 
-0.0875061  2.45 -0.71 
-0.0707071  2.46007 -0.71 
-0.030303  2.48281 -0.71 
 0.00285844  2.5 -0.71 

 0.00285844 -0.5 -0.71 
-0.030303 -0.482812 -0.71 
-0.0707071 -0.460069 -0.71 
-0.0875061 -0.45 -0.71 
-0.111111 -0.435828 -0.71 
-0.151515 -0.409815 -0.71 
-0.165924 -0.4 -0.71 
-0.191919 -0.382127 -0.71 
-0.232323 -0.352351 -0.71 
-0.235387 -0.35 -0.71 
-0.272727 -0.320856 -0.71 
-0.29785 -0.3 -0.71 
-0.313131 -0.287027 -0.71 
-0.353535 -0.250821 -0.71 
-0.354422 -0.25 -0.71 
-0.393939 -0.212271 -0.71 
-0.40622 -0.2 -0.71 
-0.434343 -0.170877 -0.71 
-0.453721 -0.15 -0.71 
-0.474747 -0.126384 -0.71 
-0.497455 -0.1 -0.71 
-0.515152 -0.0784354 -0.71 
-0.537834 -0.05 -0.71 
-0.555556 -0.026556 -0.71 
-0.575173  0 -0.71 
-0.59596  0.0298814 -0.71 
-0.609707  0.05 -0.71 
-0.636364  0.0916939 -0.71 
-0.641606  0.1 -0.71 
-0.671187  0.15 -0.71 
-0.676768  0.160134 -0.71 
-0.698611  0.2 -0.71 
-0.717172  0.236938 -0.71 
-0.723731  0.25 -0.71 
-0.746973  0.3 -0.71 
-0.757576  0.325006 -0.71 
-0.768246  0.35 -0.71 
-0.78768  0.4 -0.71 
-0.79798  0.429385 -0.71 
-0.805306  0.45 -0.71 
-0.821346  0.5 -0.71 
-0.835486  0.55 -0.71 
-0.838384  0.56154 -0.71 
-0.848271  0.6 -0.71 
-0.859439  0.65 -0.71 
-0.868947  0.7 -0.71 
-0.876866  0.75 -0.71 
-0.878788  0.764909 -0.71 
-0.883472  0.8 -0.71 
-0.888629  0.85 -0.71 
-0.892286  0.9 -0.71 
-0.894468  0.95 -0.71 
-0.895194  1 -0.71 
-0.894468  1.05 -0.71 
-0.892286  1.1 -0.71 
-0.888629  1.15 -0.71 
-0.883472  1.2 -0.71 
-0.878788  1.23509 -0.71 
